x,y,z
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
28.7760570015627,26.1539608548698,9.5
28.7760570015627,26.1539608548698,9.5
29.0030522514325,26.599464116964,9
29.0030522514325,26.599464116964,9
29.0030522514325,26.599464116964,8.5
29.0030522514325,26.599464116964,8.5
29.0030522514325,26.599464116964,8
29.0030522514325,26.599464116964,8
29.2300475013023,27.0449673790582,7.5
29.2300475013023,27.0449673790582,7.5
29.2300475013023,27.0449673790582,7
29.2300475013023,27.0449673790582,7
29.457042751172,27.4904706411523,6.5
29.457042751172,27.4904706411523,6.5
29.6840380010418,27.9359739032465,6
29.6840380010418,27.9359739032465,6
29.9110332509116,28.3814771653407,5.5
29.9110332509116,28.3814771653407,5.5
30.1380285007814,28.8269804274349,5
30.1380285007814,28.8269804274349,5
30.3650237506511,29.2724836895291,4.5
30.3650237506511,29.2724836895291,4.5
30.5920190005209,29.7179869516233,4
30.5920190005209,29.7179869516233,4
30.8190142503907,30.1634902137174,3.5
30.8190142503907,30.1634902137174,3.5
31.0460095002605,30.6089934758116,3
31.0460095002605,30.6089934758116,3
31.2730047501302,31.0544967379058,2.5
31.2730047501302,31.0544967379058,2.5
31.5,31.5,2.5
31.5,31.5,2.5
31.7269952498698,31.9455032620942,2.5
31.7269952498698,31.9455032620942,2.5
31.9539904997395,32.3910065241884,2.5
31.9539904997395,32.3910065241884,2.5
32.1809857496093,32.8365097862826,2.5
32.1809857496093,32.8365097862826,2.5
32.4079809994791,33.2820130483767,2.5
32.4079809994791,33.2820130483767,2.5
32.6349762493489,33.7275163104709,2.5
32.6349762493489,33.7275163104709,2.5
32.8619714992186,34.1730195725651,3
32.8619714992186,34.1730195725651,3
33.0889667490884,34.6185228346593,3.5
33.0889667490884,34.6185228346593,3.5
33.3159619989582,35.0640260967535,4
33.3159619989582,35.0640260967535,4
33.542957248828,35.5095293588477,4.5
33.542957248828,35.5095293588477,4.5
33.7699524986977,35.9550326209418,5
33.7699524986977,35.9550326209418,5
33.7699524986977,35.9550326209418,5.5
33.7699524986977,35.9550326209418,5.5
33.9969477485675,36.400535883036,6
33.9969477485675,36.400535883036,6
33.9969477485675,36.400535883036,6.5
33.9969477485675,36.400535883036,6.5
33.9969477485675,36.400535883036,7
33.9969477485675,36.400535883036,7
33.9969477485675,36.400535883036,7.5
33.9969477485675,36.400535883036,7.5
33.9969477485675,36.400535883036,8
33.9969477485675,36.400535883036,8
33.9969477485675,36.400535883036,8.5
33.9969477485675,36.400535883036,8.5
33.9969477485675,36.400535883036,9
33.9969477485675,36.400535883036,9
33.9969477485675,36.400535883036,9.5
33.9969477485675,36.400535883036,9.5
34.2239429984373,36.8460391451302,10
34.2239429984373,36.8460391451302,10
34.2239429984373,36.8460391451302,10.5
34.2239429984373,36.8460391451302,10.5
34.2239429984373,36.8460391451302,11
34.2239429984373,36.8460391451302,11
34.2239429984373,36.8460391451302,11.5
34.2239429984373,36.8460391451302,11.5
34.2239429984373,36.8460391451302,12
34.2239429984373,36.8460391451302,12
34.2239429984373,36.8460391451302,12.5
34.2239429984373,36.8460391451302,12.5
